ym,month,region,group_facilities,gr03,gr35,pre,oos,spec,emer,gma,family_facilities,family_spaces,total_spaces,total_facilities
200404,APR 2004,1 - Interior,298,702,2187,2005,3167,40,2,0,355,2475,10578,653
200404,APR 2004,2 - Coast Fraser,1085,1758,8339,9183,11901,191,31,0,817,5571,36974,1902
200404,APR 2004,3 - Vancouver Island,400,705,3386,2433,5114,0,0,0,452,3156,14794,852
200404,APR 2004,4 - North,111,228,977,958,1072,0,0,0,171,1194,4429,282
200405,MAY 2004,1 - Interior,299,702,2187,2022,3180,40,2,0,354,2468,10601,653
200405,MAY 2004,2 - Coast Fraser,1092,1748,8324,9315,11916,191,31,0,811,5531,37056,1903
200405,MAY 2004,3 - Vancouver Island,400,705,3386,2433,5114,0,0,0,450,3142,14780,850
200405,MAY 2004,4 - North,111,228,977,958,1072,0,0,0,170,1187,4422,281
200406,JUN 2004,1 - Interior,300,702,2187,2042,3180,40,2,0,350,2440,10593,650
200406,JUN 2004,2 - Coast Fraser,1095,1748,8362,9339,11916,191,31,0,817,5573,37160,1912
200406,JUN 2004,3 - Vancouver Island,402,721,3418,2441,5108,0,0,0,451,3149,14837,853
200406,JUN 2004,4 - North,112,228,977,973,1072,0,0,0,171,1194,4444,283
200407,JUL 2004,1 - Interior,292,702,2195,2007,3067,40,2,0,340,2370,10383,632
200407,JUL 2004,2 - Coast Fraser,1088,1776,8280,9244,11967,191,31,0,818,5583,37072,1906
200407,JUL 2004,3 - Vancouver Island,398,731,3428,2397,5057,0,0,0,444,3100,14713,842
200407,JUL 2004,4 - North,113,228,977,973,1097,0,0,0,166,1159,4434,279
200408,AUG 2004,1 - Interior,292,694,2203,2007,3067,40,2,0,336,2342,10355,628
200408,AUG 2004,2 - Coast Fraser,1086,1788,8316,9234,11964,191,31,0,818,5580,37104,1904
200408,AUG 2004,3 - Vancouver Island,395,731,3396,2397,4995,0,0,0,438,3058,14577,833
200408,AUG 2004,4 - North,114,228,997,973,1104,0,0,0,163,1138,4440,277
200409,SEP 2004,1 - Interior,295,702,2218,2097,3081,40,2,0,327,2279,10419,622
200409,SEP 2004,2 - Coast Fraser,1103,1800,8302,9550,11917,191,31,0,815,5562,37353,1918
200409,SEP 2004,3 - Vancouver Island,396,731,3390,2399,5025,0,0,0,437,3051,14596,833
200409,SEP 2004,4 - North,113,228,962,973,1090,0,0,0,165,1152,4405,278
200410,OCT 2004,1 - Interior,301,694,2227,2130,3135,40,2,0,332,2314,10542,633
200410,OCT 2004,2 - Coast Fraser,1125,1856,8427,9764,12157,191,31,0,826,5630,38056,1951
200410,OCT 2004,3 - Vancouver Island,405,747,3424,2428,5214,0,0,0,440,3070,14883,845
